# 번호,맵코드,X1,Y1,X2,Y2,적을만날최소확률,적을만날최대확률,적의최대수,중복지역일때우선순위,그룹번호1~10,그룹확률,진행중퀘스트,완료퀘스트,그룹번호
# 100:1=1%, 1000:1=0.1%, 10000:1=0.01%, 100000:1=0.001%, 1000000:1=0.0001%
#
#
# 1:두리, 2001~2002:푸우리, 녹우리[0.05%], 1900:다크바로스[0.001%], 1901:펠타리오[0.001%]
1,100,740,460,780,491,1,5,5,40,5,1,2001,2002,1900,1901,,,,,90000,10000,50,50,1,1,,,,,,,
# 2:케이비, 2036~2039:블루카비트, 연두큐이, 키라비, 카이비[0.025%], 1900:다크바로스[0.001%], 1901:펠타리오[0.001%]
2,100,0,579,55,619,1,5,5,40,6,2,2036,2037,2038,2039,1900,1901,,,90000,10000,25,25,25,25,1,1,,,,,
# 3:쿠쿠르, 2032~2035:노스키, 라스키, 토끼, 범링[0.025%], 1900:다크바로스[0.001%], 1901:펠타리오[0.001%]
3,200,300,628,319,664,1,5,5,40,7,3,2032,2033,2034,2035,,,,,90000,10000,25,25,25,25,1,1,,,,,
# 4:오투투, 2010~2013:포포, 푸투투, 노투투, 푸푸[0.025%], 1900:다크바로스[0.001%], 1901:펠타리오[0.001%]
4,200,550,290,590,319,1,5,5,40,8,4,2010,2011,2012,2013,,,,,90000,10000,25,25,25,25,1,1,,,,,
#5,152,0,0,50,50,1,5,5,40,8,4,2010,2011,2012,2013,,,,,90000,10000,25,25,25,25,1,1,,,,,
#
# TEST
#5,97,0,0,100,100,1,5,5,40,5,1,2001,2002,1900,1901,,,,,90000,10000,50,50,1,1,,,,,,,
#6,98,0,0,100,100,1,5,5,40,5,1,2001,2002,1900,1901,,,,,90000,10000,50,50,1,1,,,,,,,
#7,99,0,0,100,100,1,5,5,40,5,1,2001,2002,1900,1901,,,,,90000,10000,50,50,1,1,,,,,,,
#
#
# 샴기르 앞마당
# 88:큐이, 2036~2039:블루카비트, 연두큐이, 키라비, 카이비[0.025%], 1900:다크바로스[0.001%], 1901:펠타리오[0.001%]
21,100,582,399,653,501,1,5,2,40,90,89,88,2036,2037,2038,2039,1900,1901,,45000,45000,10000,25,25,25,25,1,1,,,,
# 91:골드카비트, 2036~2039:블루카비트, 연두큐이, 키라비, 카이비[0.025%], 1900:다크바로스[0.001%], 1901:펠타리오[0.001%]
