2020-09-02 05:13:06|帐:jmycxc|名:aa|点:0 血:1000 攻:1000 防:1000 敏:1000 总:4000
2020-09-02 05:22:18|帐:1111|名:蜡厚|点:0 血:1000 攻:1000 防:1000 敏:1000 总:4000
2020-09-02 05:23:26|帐:1111|名:蜡厚|点:0 血:1000 攻:1000 防:1000 敏:1000 总:4000
2020-09-02 05:24:41|帐:1111|名:蜡厚|点:0 血:1000 攻:1000 防:1000 敏:1000 总:4000
2020-09-02 05:24:57|帐:1111|名:蜡厚|点:0 血:1000 攻:1000 防:1000 敏:1000 总:4000
2020-09-02 05:25:00|帐:yesdw00|名:厘厚|点:0 血:1000 攻:1000 防:1000 敏:1000 总:4000
2020-09-02 05:25:42|帐:yesdw00|名:厘厚|点:0 血:1000 攻:1000 防:1000 敏:1000 总:4000
2020-09-02 05:25:42|帐:1111|名:蜡厚|点:0 血:1000 攻:1000 防:1000 敏:1000 总:4000
2020-09-02 05:25:44|帐:1111|名:蜡厚|点:0 血:1000 攻:1000 防:1000 敏:1000 总:4000
2020-09-02 05:28:43|帐:1111|名:蜡厚|点:0 血:1000 攻:1000 防:1000 敏:1000 总:4000
2020-09-02 05:28:57|帐:1111|名:蜡厚|点:0 血:1000 攻:1000 防:1000 敏:1000 总:4000
2020-09-02 05:29:53|帐:1111|名:蜡厚|点:0 血:1000 攻:0 防:1000 敏:1000 总:3000
