2021-04-28 00:52:16|boy5673|후라이드|페가수스호리병(40141)|1|6900|3100
2021-04-28 01:02:52|kyk9698|파랑|Lv4페트 통조림(46018)|1|5000|953300
2021-04-28 01:07:32|yy1212|연두|Lv4페트 통조림(46018)|1|5000|862600
2021-04-28 01:24:04|||30만스톤 수표(100033)|1|4|10
2021-04-28 06:26:04|||경험치 구슬(교불)(100508)|1|3|11
2021-04-28 06:26:13|||경험치 구슬(교불)(100508)|1|3|8
2021-04-28 06:27:09|||경험치 구슬(교불)(100508)|1|3|5
2021-04-28 06:27:14|||경험치 구슬(교불)(100508)|1|3|2
2021-04-28 06:28:52|||경험치 구슬(교불)(100508)|1|3|12
2021-04-28 06:28:58|||경험치 구슬(교불)(100508)|1|3|9
2021-04-28 06:29:02|||경험치 구슬(교불)(100508)|1|3|6
2021-04-28 06:29:07|||경험치 구슬(교불)(100508)|1|3|3
2021-04-28 06:29:12|||경험치 구슬(교불)(100508)|1|3|0
2021-04-28 09:39:33|yy1212|연두|진화열매(45009)|1|15000|847600
2021-04-28 09:39:34|yy1212|연두|진화열매(45009)|1|15000|832600
2021-04-28 09:42:11|yy1212|연두|Lv4페트 통조림(46018)|1|5000|827600
2021-04-28 09:44:33|kyk9698|파랑|카오스보스박스(57701)|1|9900|943400
2021-04-28 09:44:34|kyk9698|파랑|카오스보스박스(57701)|1|9900|933500
2021-04-28 09:44:35|kyk9698|파랑|카오스보스박스(57701)|1|9900|923600
2021-04-28 09:44:36|kyk9698|파랑|카오스보스박스(57701)|1|9900|913700
2021-04-28 09:44:38|kyk9698|파랑|카오스보스박스(57701)|1|9900|903800
2021-04-28 09:44:39|kyk9698|파랑|카오스보스박스(57701)|1|9900|893900
2021-04-28 09:44:40|kyk9698|파랑|카오스보스박스(57701)|1|9900|884000
2021-04-28 09:44:41|kyk9698|파랑|카오스보스박스(57701)|1|9900|874100
2021-04-28 09:44:42|kyk9698|파랑|카오스보스박스(57701)|1|9900|864200
2021-04-28 09:44:43|kyk9698|파랑|카오스보스박스(57701)|1|9900|854300
2021-04-28 09:46:43|kyk9698|파랑|Lv4페트 통조림(46018)|1|5000|849300
2021-04-28 10:36:48|insub77730|카키|진화열매(45009)|1|15000|4431300
2021-04-28 14:46:05|||경험치 구슬(교불)(100508)|1|3|0
2021-04-28 14:51:04|||경험치 구슬(교불)(100508)|1|3|5
2021-04-28 14:51:08|||경험치 구슬(교불)(100508)|1|3|2
2021-04-28 14:55:40|smn0302|차|VIP POINT 50000＄(21116)|1|50000|4300
2021-04-28 16:11:36|qusrud11|여포왕|진화열매(45009)|1|15000|139900
2021-04-28 16:28:05|kyk9698|파랑|Lv4페트 통조림(46018)|1|5000|844300
2021-04-28 16:29:19|kyk9698|파랑|페트초기화5개(25152)|1|4000|840300
2021-04-28 16:29:40|kyk9698|파랑|Lv4페트 통조림(46018)|1|5000|835300
2021-04-28 16:53:09|smn0302|차|카오스보스박스(57701)|1|9900|44400
2021-04-28 16:53:24|smn0302|차|카오스보스박스(57701)|1|9900|34500
2021-04-28 16:53:37|smn0302|차|카오스보스박스(57701)|1|9900|24600
2021-04-28 17:48:58|||경험치 구슬(교불)(100508)|1|5|2
2021-04-28 17:50:00|||경험치 구슬(교불)(100508)|1|3|6
2021-04-28 17:50:02|||경험치 구슬(교불)(100508)|1|3|3
2021-04-28 17:50:03|||경험치 구슬(교불)(100508)|1|3|0
2021-04-28 18:33:31|yy1212|연두|진화열매(45009)|1|15000|812600
2021-04-28 18:35:07|yy1212|연두|Lv4페트 통조림(46018)|1|5000|807600
2021-04-28 19:32:37|||경험치 구슬(교불)(100508)|1|3|2
2021-04-28 21:16:04|kyk9698|파랑|진화열매(45009)|1|15000|820300
2021-04-28 21:17:01|kyk9698|파랑|Lv4페트 통조림(46018)|1|5000|815300
2021-04-28 21:20:25|gocks170614|정또노|맘모스쿠폰(40050)|1|4900|1200
2021-04-28 22:00:27|||경험치 구슬(교불)(100508)|1|3|3
2021-04-28 22:05:37|||갈푸스퀘 깃털(100130)|1|4|69
2021-04-28 22:05:50|||갈푸스퀘 깃털(100130)|1|4|109
2021-04-28 22:05:51|||갈푸스퀘 깃털(100130)|1|4|105
2021-04-28 22:05:55|||갈푸스퀘 깃털(100130)|1|4|65
2021-04-28 23:34:43|||페트초기화(25150)|1|8|7
2021-04-28 23:35:21|||페트초기화(25150)|1|8|8
